Date,DJI_value,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10)
2/2/2009,7936.75,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,-1.76,-1.71,-1.84,-1.69
3/2/2009,8078.359863,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,-1.76,-1.71,-1.84
4/2/2009,7956.660156,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,-1.76,-1.71
5/2/2009,8063.069824,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,-1.76
6/2/2009,8280.589844,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78
9/2/2009,8270.870117,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76
10/2/2009,7888.879883,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74
11/2/2009,7939.529785,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64
12/2/2009,7932.759766,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75
13/2/2009,7850.410156,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82
17/2/2009,7552.600098,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85
18/2/2009,7555.629883,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78
19/2/2009,7465.950195,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84
20/2/2009,7365.669922,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79
23/2/2009,7114.779785,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69
24/2/2009,7350.939941,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69
25/2/2009,7270.890137,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87
26/2/2009,7182.080078,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84
27/2/2009,7062.930176,-2.20,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85
2/3/2009,6763.290039,-2.25,-2.20,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89
3/3/2009,6726.02002,-2.39,-2.25,-2.20,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02
4/3/2009,6875.839844,-2.41,-2.39,-2.25,-2.20,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02
5/3/2009,6594.439941,-2.34,-2.41,-2.39,-2.25,-2.20,-2.15,-2.12,-2.23,-2.11,-2.06
6/3/2009,6626.939941,-2.47,-2.34,-2.41,-2.39,-2.25,-2.20,-2.15,-2.12,-2.23,-2.11
9/3/2009,6547.049805,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.20,-2.15,-2.12,-2.23
10/3/2009,6926.490234,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.20,-2.15,-2.12
11/3/2009,6930.399902,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.20,-2.15
12/3/2009,7170.060059,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.20
13/3/2009,7223.97998,-2.20,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25
16/3/2009,7216.970215,-2.18,-2.20,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39
17/3/2009,7395.700195,-2.18,-2.18,-2.20,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41
18/3/2009,7486.580078,-2.10,-2.18,-2.18,-2.20,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34
19/3/2009,7400.799805,-2.05,-2.10,-2.18,-2.18,-2.20,-2.31,-2.31,-2.49,-2.45,-2.47
20/3/2009,7278.379883,-2.09,-2.05,-2.10,-2.18,-2.18,-2.20,-2.31,-2.31,-2.49,-2.45
23/3/2009,7775.859863,-2.15,-2.09,-2.05,-2.10,-2.18,-2.18,-2.20,-2.31,-2.31,-2.49
24/3/2009,7659.970215,-1.92,-2.15,-2.09,-2.05,-2.10,-2.18,-2.18,-2.20,-2.31,-2.31
25/3/2009,7749.810059,-1.97,-1.92,-2.15,-2.09,-2.05,-2.10,-2.18,-2.18,-2.20,-2.31
26/3/2009,7924.560059,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.10,-2.18,-2.18,-2.20
27/3/2009,7776.180176,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.10,-2.18,-2.18
30/3/2009,7522.02002,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.10,-2.18
31/3/2009,7608.919922,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.10
1/4/2009,7761.600098,-2.00,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05
2/4/2009,7978.080078,-1.93,-2.00,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09
3/4/2009,8017.589844,-1.83,-1.93,-2.00,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15
6/4/2009,7975.850098,-1.81,-1.83,-1.93,-2.00,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92
7/4/2009,7789.560059,-1.83,-1.81,-1.83,-1.93,-2.00,-2.04,-1.92,-1.85,-1.93,-1.97
8/4/2009,7837.109863,-1.91,-1.83,-1.81,-1.83,-1.93,-2.00,-2.04,-1.92,-1.85,-1.93
9/4/2009,8083.379883,-1.89,-1.91,-1.83,-1.81,-1.83,-1.93,-2.00,-2.04,-1.92,-1.85
13/4/2009,8057.810059,-1.78,-1.89,-1.91,-1.83,-1.81,-1.83,-1.93,-2.00,-2.04,-1.92
14/4/2009,7920.180176,-1.79,-1.78,-1.89,-1.91,-1.83,-1.81,-1.83,-1.93,-2.00,-2.04
15/4/2009,8029.620117,-1.85,-1.79,-1.78,-1.89,-1.91,-1.83,-1.81,-1.83,-1.93,-2.00
16/4/2009,8125.430176,-1.80,-1.85,-1.79,-1.78,-1.89,-1.91,-1.83,-1.81,-1.83,-1.93
17/4/2009,8131.330078,-1.76,-1.80,-1.85,-1.79,-1.78,-1.89,-1.91,-1.83,-1.81,-1.83
20/4/2009,7841.72998,-1.76,-1.76,-1.80,-1.85,-1.79,-1.78,-1.89,-1.91,-1.83,-1.81
21/4/2009,7969.560059,-1.89,-1.76,-1.76,-1.80,-1.85,-1.79,-1.78,-1.89,-1.91,-1.83
22/4/2009,7886.569824,-1.83,-1.89,-1.76,-1.76,-1.80,-1.85,-1.79,-1.78,-1.89,-1.91
23/4/2009,7957.060059,-1.87,-1.83,-1.89,-1.76,-1.76,-1.80,-1.85,-1.79,-1.78,-1.89
24/4/2009,8076.290039,-1.84,-1.87,-1.83,-1.89,-1.76,-1.76,-1.80,-1.85,-1.79,-1.78
27/4/2009,8025,-1.78,-1.84,-1.87,-1.83,-1.89,-1.76,-1.76,-1.80,-1.85,-1.79
28/4/2009,8016.950195,-1.81,-1.78,-1.84,-1.87,-1.83,-1.89,-1.76,-1.76,-1.80,-1.85
29/4/2009,8185.72998,-1.81,-1.81,-1.78,-1.84,-1.87,-1.83,-1.89,-1.76,-1.76,-1.80
30/4/2009,8168.120117,-1.73,-1.81,-1.81,-1.78,-1.84,-1.87,-1.83,-1.89,-1.76,-1.76
1/5/2009,8212.410156,-1.74,-1.73,-1.81,-1.81,-1.78,-1.84,-1.87,-1.83,-1.89,-1.76
4/5/2009,8426.740234,-1.72,-1.74,-1.73,-1.81,-1.81,-1.78,-1.84,-1.87,-1.83,-1.89
5/5/2009,8410.650391,-1.62,-1.72,-1.74,-1.73,-1.81,-1.81,-1.78,-1.84,-1.87,-1.83
6/5/2009,8512.280273,-1.63,-1.62,-1.72,-1.74,-1.73,-1.81,-1.81,-1.78,-1.84,-1.87
7/5/2009,8409.849609,-1.58,-1.63,-1.62,-1.72,-1.74,-1.73,-1.81,-1.81,-1.78,-1.84
8/5/2009,8574.650391,-1.63,-1.58,-1.63,-1.62,-1.72,-1.74,-1.73,-1.81,-1.81,-1.78
11/5/2009,8418.769531,-1.55,-1.63,-1.58,-1.63,-1.62,-1.72,-1.74,-1.73,-1.81,-1.81
12/5/2009,8469.110352,-1.62,-1.55,-1.63,-1.58,-1.63,-1.62,-1.72,-1.74,-1.73,-1.81
13/5/2009,8284.889648,-1.60,-1.62,-1.55,-1.63,-1.58,-1.63,-1.62,-1.72,-1.74,-1.73
14/5/2009,8331.320313,-1.68,-1.60,-1.62,-1.55,-1.63,-1.58,-1.63,-1.62,-1.72,-1.74
15/5/2009,8268.639648,-1.66,-1.68,-1.60,-1.62,-1.55,-1.63,-1.58,-1.63,-1.62,-1.72
18/5/2009,8504.080078,-1.69,-1.66,-1.68,-1.60,-1.62,-1.55,-1.63,-1.58,-1.63,-1.62
19/5/2009,8474.849609,-1.58,-1.69,-1.66,-1.68,-1.60,-1.62,-1.55,-1.63,-1.58,-1.63
20/5/2009,8422.040039,-1.60,-1.58,-1.69,-1.66,-1.68,-1.60,-1.62,-1.55,-1.63,-1.58
