Date,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10),DJI_direction
3/2/2009,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,-1.76,-1.71,-1.84,1
4/2/2009,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,-1.76,-1.71,0
5/2/2009,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,-1.76,1
6/2/2009,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,-1.78,1
9/2/2009,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,-1.76,0
10/2/2009,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,-1.74,0
11/2/2009,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,-1.64,1
12/2/2009,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,-1.75,0
13/2/2009,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,-1.82,0
17/2/2009,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,-1.85,0
18/2/2009,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,-1.78,1
19/2/2009,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,-1.84,0
20/2/2009,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,-1.79,0
23/2/2009,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,-1.69,0
24/2/2009,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,-1.69,1
25/2/2009,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,-1.87,0
26/2/2009,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,-1.84,0
27/2/2009,-2.2,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,-1.85,0
2/3/2009,-2.25,-2.2,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,-1.89,0
3/3/2009,-2.39,-2.25,-2.2,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,-2.02,0
4/3/2009,-2.41,-2.39,-2.25,-2.2,-2.15,-2.12,-2.23,-2.11,-2.06,-2.02,1
5/3/2009,-2.34,-2.41,-2.39,-2.25,-2.2,-2.15,-2.12,-2.23,-2.11,-2.06,0
6/3/2009,-2.47,-2.34,-2.41,-2.39,-2.25,-2.2,-2.15,-2.12,-2.23,-2.11,1
9/3/2009,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.2,-2.15,-2.12,-2.23,0
10/3/2009,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.2,-2.15,-2.12,1
11/3/2009,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.2,-2.15,1
12/3/2009,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,-2.2,1
13/3/2009,-2.2,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,-2.25,1
16/3/2009,-2.18,-2.2,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,-2.39,0
17/3/2009,-2.18,-2.18,-2.2,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,-2.41,1
18/3/2009,-2.1,-2.18,-2.18,-2.2,-2.31,-2.31,-2.49,-2.45,-2.47,-2.34,1
19/3/2009,-2.05,-2.1,-2.18,-2.18,-2.2,-2.31,-2.31,-2.49,-2.45,-2.47,0
20/3/2009,-2.09,-2.05,-2.1,-2.18,-2.18,-2.2,-2.31,-2.31,-2.49,-2.45,0
23/3/2009,-2.15,-2.09,-2.05,-2.1,-2.18,-2.18,-2.2,-2.31,-2.31,-2.49,1
24/3/2009,-1.92,-2.15,-2.09,-2.05,-2.1,-2.18,-2.18,-2.2,-2.31,-2.31,0
25/3/2009,-1.97,-1.92,-2.15,-2.09,-2.05,-2.1,-2.18,-2.18,-2.2,-2.31,1
26/3/2009,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.1,-2.18,-2.18,-2.2,1
27/3/2009,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.1,-2.18,-2.18,0
30/3/2009,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.1,-2.18,0
31/3/2009,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,-2.1,1
1/4/2009,-2,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,-2.05,1
2/4/2009,-1.93,-2,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,-2.09,1
3/4/2009,-1.83,-1.93,-2,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,-2.15,1
6/4/2009,-1.81,-1.83,-1.93,-2,-2.04,-1.92,-1.85,-1.93,-1.97,-1.92,0
7/4/2009,-1.83,-1.81,-1.83,-1.93,-2,-2.04,-1.92,-1.85,-1.93,-1.97,0
8/4/2009,-1.91,-1.83,-1.81,-1.83,-1.93,-2,-2.04,-1.92,-1.85,-1.93,1
9/4/2009,-1.89,-1.91,-1.83,-1.81,-1.83,-1.93,-2,-2.04,-1.92,-1.85,1
