Date,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10),DJI_direction
18/2/2009,0,0,0,1,0,0,1,1,0,1,1
19/2/2009,1,0,0,0,1,0,0,1,1,0,0
20/2/2009,0,1,0,0,0,1,0,0,1,1,0
23/2/2009,0,0,1,0,0,0,1,0,0,1,0
24/2/2009,0,0,0,1,0,0,0,1,0,0,1
25/2/2009,1,0,0,0,1,0,0,0,1,0,0
26/2/2009,0,1,0,0,0,1,0,0,0,1,0
27/2/2009,0,0,1,0,0,0,1,0,0,0,0
2/3/2009,0,0,0,1,0,0,0,1,0,0,0
3/3/2009,0,0,0,0,1,0,0,0,1,0,0
4/3/2009,0,0,0,0,0,1,0,0,0,1,1
5/3/2009,1,0,0,0,0,0,1,0,0,0,0
6/3/2009,0,1,0,0,0,0,0,1,0,0,1
9/3/2009,1,0,1,0,0,0,0,0,1,0,0
10/3/2009,0,1,0,1,0,0,0,0,0,1,1
11/3/2009,1,0,1,0,1,0,0,0,0,0,1
12/3/2009,1,1,0,1,0,1,0,0,0,0,1
13/3/2009,1,1,1,0,1,0,1,0,0,0,1
16/3/2009,1,1,1,1,0,1,0,1,0,0,0
17/3/2009,0,1,1,1,1,0,1,0,1,0,1
18/3/2009,1,0,1,1,1,1,0,1,0,1,1
19/3/2009,1,1,0,1,1,1,1,0,1,0,0
20/3/2009,0,1,1,0,1,1,1,1,0,1,0
23/3/2009,0,0,1,1,0,1,1,1,1,0,1
24/3/2009,1,0,0,1,1,0,1,1,1,1,0
25/3/2009,0,1,0,0,1,1,0,1,1,1,1
26/3/2009,1,0,1,0,0,1,1,0,1,1,1
27/3/2009,1,1,0,1,0,0,1,1,0,1,0
30/3/2009,0,1,1,0,1,0,0,1,1,0,0
31/3/2009,0,0,1,1,0,1,0,0,1,1,1
1/4/2009,1,0,0,1,1,0,1,0,0,1,1
2/4/2009,1,1,0,0,1,1,0,1,0,0,1
3/4/2009,1,1,1,0,0,1,1,0,1,0,1
6/4/2009,1,1,1,1,0,0,1,1,0,1,0
7/4/2009,0,1,1,1,1,0,0,1,1,0,0
8/4/2009,0,0,1,1,1,1,0,0,1,1,1
9/4/2009,1,0,0,1,1,1,1,0,0,1,1
13/4/2009,1,1,0,0,1,1,1,1,0,0,0
14/4/2009,0,1,1,0,0,1,1,1,1,0,0
15/4/2009,0,0,1,1,0,0,1,1,1,1,1
16/4/2009,1,0,0,1,1,0,0,1,1,1,1
17/4/2009,1,1,0,0,1,1,0,0,1,1,1
20/4/2009,1,1,1,0,0,1,1,0,0,1,0
21/4/2009,0,1,1,1,0,0,1,1,0,0,1
22/4/2009,1,0,1,1,1,0,0,1,1,0,0
23/4/2009,0,1,0,1,1,1,0,0,1,1,1
24/4/2009,1,0,1,0,1,1,1,0,0,1,1
27/4/2009,1,1,0,1,0,1,1,1,0,0,0
28/4/2009,0,1,1,0,1,0,1,1,1,0,0
29/4/2009,0,0,1,1,0,1,0,1,1,1,1
30/4/2009,1,0,0,1,1,0,1,0,1,1,0
1/5/2009,0,1,0,0,1,1,0,1,0,1,1
4/5/2009,1,0,1,0,0,1,1,0,1,0,1
5/5/2009,1,1,0,1,0,0,1,1,0,1,0
6/5/2009,0,1,1,0,1,0,0,1,1,0,1
7/5/2009,1,0,1,1,0,1,0,0,1,1,0
8/5/2009,0,1,0,1,1,0,1,0,0,1,1
11/5/2009,1,0,1,0,1,1,0,1,0,0,0
12/5/2009,0,1,0,1,0,1,1,0,1,0,1
13/5/2009,1,0,1,0,1,0,1,1,0,1,0
14/5/2009,0,1,0,1,0,1,0,1,1,0,1
15/5/2009,1,0,1,0,1,0,1,0,1,1,0
18/5/2009,0,1,0,1,0,1,0,1,0,1,1
19/5/2009,1,0,1,0,1,0,1,0,1,0,0
20/5/2009,0,1,0,1,0,1,0,1,0,1,0
21/5/2009,0,0,1,0,1,0,1,0,1,0,0
22/5/2009,0,0,0,1,0,1,0,1,0,1,0
26/5/2009,0,0,0,0,1,0,1,0,1,0,1
27/5/2009,1,0,0,0,0,1,0,1,0,1,0
28/5/2009,0,1,0,0,0,0,1,0,1,0,1
29/5/2009,1,0,1,0,0,0,0,1,0,1,1
1/6/2009,1,1,0,1,0,0,0,0,1,0,1
2/6/2009,1,1,1,0,1,0,0,0,0,1,1
3/6/2009,1,1,1,1,0,1,0,0,0,0,0
4/6/2009,0,1,1,1,1,0,1,0,0,0,1
5/6/2009,1,0,1,1,1,1,0,1,0,0,1
8/6/2009,1,1,0,1,1,1,1,0,1,0,1
9/6/2009,1,1,1,0,1,1,1,1,0,1,0
10/6/2009,0,1,1,1,0,1,1,1,1,0,0
11/6/2009,0,0,1,1,1,0,1,1,1,1,1
12/6/2009,1,0,0,1,1,1,0,1,1,1,1
